SHIPPER;TAHUN;BULAN;PERIODE;DAILY AVERAGE (MMSFCD)
KEIL;2020;1;Jan-20; 32.04 
KEIL;2020;2;Feb-20; 29.67 
KEIL;2020;3;Mar-20; 31.22 
KEIL;2020;4;Apr-20; 22.87 
KEIL;2020;5;May-20; 14.80 
KEIL;2020;6;Jun-20; 9.48 
KEIL;2020;7;Jul-20; 23.44 
KEIL;2020;8;Aug-20; 18.04 
KEIL;2020;9;Sep-20; 7.36 
KEIL;2020;10;Oct-20; 21.93 
KEIL;2020;11;Nov-20; 19.33 
KEIL;2020;12;Dec-20; 15.21 
PGN;2020;1;Jan-20; 32.64 
PGN;2020;2;Feb-20; 28.64 
PGN;2020;3;Mar-20; 25.20 
PGN;2020;4;Apr-20; 24.73 
PGN;2020;5;May-20; 17.42 
PGN;2020;6;Jun-20; 24.78 
PGN;2020;7;Jul-20; 20.65 
PGN;2020;8;Aug-20; 51.74 
PGN;2020;9;Sep-20; 55.12 
PGN;2020;10;Oct-20; 44.10 
PGN;2020;11;Nov-20;42.84
PGN;2020;12;Dec-20;38.04
BBG;2020;1;Jan-20; 4.46 
BBG;2020;2;Feb-20; 6.11 
BBG;2020;3;Mar-20; 6.17 
BBG;2020;4;Apr-20; 4.53 
BBG;2020;5;May-20; 2.81 
BBG;2020;6;Jun-20; 2.07 
BBG;2020;7;Jul-20; 4.72 
BBG;2020;8;Aug-20; 6.49 
BBG;2020;9;Sep-20; 6.17 
BBG;2020;10;Oct-20; 0.20 
BBG;2020;11;Nov-20; 0.20 
BBG;2020;12;Dec-20; 5.71 
PLN;2020;1;Jan-20; 90.23 
PLN;2020;2;Feb-20; 83.85 
PLN;2020;3;Mar-20; 91.52 
PLN;2020;4;Apr-20; 85.81 
PLN;2020;5;May-20; 82.62 
PLN;2020;6;Jun-20; 63.19 
PLN;2020;7;Jul-20; 79.79 
PLN;2020;8;Aug-20; 72.19 
PLN;2020;9;Sep-20; 83.41 
PLN;2020;10;Oct-20; 85.27 
PLN;2020;11;Nov-20; 69.37 
PLN;2020;12;Dec-20; 75.38 
PERTAMINA;2020;1;Jan-20; 0.19 
PERTAMINA;2020;2;Feb-20; 0.18 
PERTAMINA;2020;3;Mar-20; 0.17 
PERTAMINA;2020;4;Apr-20; 0.17 
PERTAMINA;2020;5;May-20; 0.17 
PERTAMINA;2020;6;Jun-20; 0.17 
PERTAMINA;2020;7;Jul-20; 0.18 
PERTAMINA;2020;8;Aug-20; 0.21 
PERTAMINA;2020;9;Sep-20; 0.26 
PERTAMINA;2020;10;Oct-20; 0.18 
PERTAMINA;2020;11;Nov-20; 0.18 
PERTAMINA;2020;12;Dec-20; 0.18 
PKG;2020;1;Jan-20; 113.56 
PKG;2020;2;Feb-20; 113.23 
